	strings	type
0	accessed through	query
1	accessed via	query
2	active window is	query
3	activity	query
4	activity in	query
5	application used for	query
6	are	query
7	associated with	query
8	attended	query
9	calendar	query
10	captured at	query
11	capturedat	query
12	category in	query
13	chatting about	query
14	chatting with	query
15	commented on	query
16	communicating with	query
17	complies with	query
18	configured to respond in	query
19	confirms	query
20	consulting for	query
21	contained	query
22	contains	query
23	contains data about	query
24	contains data related to	query
25	contains email from	query
26	contains email with subject	query
27	contains emails related to	query
28	contains information about	query
29	containsapp	query
30	conversation with	query
31	date	query
32	date in	query
33	discussed	query
34	discussed in	query
35	discusses	query
36	discussing with	query
37	displayed	query
38	displayed in	query
39	displays	query
40	document contains	query
41	document edited by	query
42	document in	query
43	document titled	query
44	document viewed in	query
45	edited using	query
46	email about	query
47	enabled in	query
48	engaged in	query
49	engaged in chat with	query
50	engages in	query
51	ensures	query
52	equivalent	query
53	excludes	query
54	failed	query
55	focus on	query
56	follows	query
57	forayed by	query
58	forayed into	query
59	from	query
60	has	query
61	has active window with title	query
62	has activity	query
63	has activity summary	query
64	has ai assist agent	query
65	has apps	query
66	has chat about	query
67	has confidence score	query
68	has controls including	query
69	has controls like	query
70	has detailed screen description captured at	query
71	has document titled	query
72	has doubts	query
73	has event	query
74	has event on	query
75	has events	query
76	has events scheduled for	query
77	has inactive window with title	query
78	has interface for	query
79	has interface showing	query
80	has interface with	query
81	has interface with options for	query
82	has job listings for	query
83	has page displaying	query
84	has participant	query
85	has participants	query
86	has participants including	query
87	has tabs for	query
88	has tabs titled	query
89	has ui elements	query
90	has user	query
91	has window with title	query
92	has window with url	query
93	hasactivity	query
94	hasparticipant	query
95	hasparticipants	query
96	hastool	query
97	host of	query
98	hosted on	query
99	hosts	query
100	icon on	query
101	in	query
102	included participants	query
103	includes	query
104	includes participants	query
105	interacts with	query
106	interface for	query
107	involved in	query
108	involves	query
109	involves participants like	query
110	involves video conference with	query
111	is	query
112	is a	query
113	is a job listing on	query
114	is a part of	query
115	is a participant in	query
116	is a platform for	query
117	is a type of	query
118	is a web browser for	query
119	is a window title of	query
120	is accessed via	query
121	is active in	query
122	is active throughout	query
123	is addressing issues related to	query
124	is aimed at	query
125	is an	query
126	is an app of	query
127	is an icon in	query
128	is being read by	query
129	is being reviewed by	query
130	is being used by	query
131	is chatting on	query
132	is chatting with	query
133	is currently upgrading to	query
134	is date of	query
135	is discussed in	query
136	is edited in	query
137	is engaged in	query
138	is feature of	query
139	is focused on	query
140	is focused on ensuring	query
